Inverter History Report_,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020044,,,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045086367,,,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,Report generation time:20231228213933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner's cell phone number:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Voltage V(V),AC Voltage W(V),AC Current U(A),AC Current V(A),AC Current W(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
815,26/11/2023 14:07:13 (UTC-4:00),Normal, ,331.5,5.4,1790,332.6,5.3,1763,332.6,5.1,1696,10.2,0.1,0,222.8,0.0,0.0,22.7,0.0,0.0,5150.000,59.940,36.800,1229.000,12215.000,31692.000,53.3, ,0.00,0.000,0.000,0.000,0
816,26/11/2023 14:12:12 (UTC-4:00),Normal, ,334.4,3.6,1204,327.6,3.7,1212,335.5,3.5,1174,9.4,0.1,0,222.4,0.0,0.0,15.8,0.0,0.0,3550.000,59.960,37.100,1230.000,12216.000,31692.000,52.7, ,0.00,0.000,0.000,0.000,0
817,26/11/2023 14:17:11 (UTC-4:00),Normal, ,331.9,2.3,763,329.0,2.2,724,329.0,2.2,724,11.7,0.1,0,221.4,0.0,0.0,9.8,0.0,0.0,2160.000,59.940,37.400,1230.000,12216.000,31693.000,50.3, ,0.00,0.000,0.000,0.000,0
818,26/11/2023 14:22:11 (UTC-4:00),Normal, ,342.0,2.8,958,339.0,2.8,949,339.0,2.7,915,10.9,0.1,0,221.8,0.0,0.0,12.5,0.0,0.0,2790.000,59.960,37.600,1230.000,12216.000,31693.000,48.3, ,0.00,0.000,0.000,0.000,0
819,26/11/2023 14:27:14 (UTC-4:00),Normal, ,337.9,4.0,1352,334.9,4.0,1340,334.9,3.9,1306,13.7,0.1,0,222.1,0.0,0.0,17.5,0.0,0.0,3940.000,60.000,38.000,1230.000,12217.000,31693.000,50.3, ,0.00,0.000,0.000,0.000,0
820,26/11/2023 14:32:37 (UTC-4:00),Normal, ,332.0,1.9,631,329.1,1.9,625,329.1,1.8,592,14.9,0.1,0,221.6,0.0,0.0,8.4,0.0,0.0,1810.000,60.010,38.300,1231.000,12217.000,31694.000,48.7, ,0.00,0.000,0.000,0.000,0
821,26/11/2023 14:37:19 (UTC-4:00),Normal, ,336.2,1.7,572,333.2,1.7,566,337.3,1.7,573,11.0,0.1,0,221.5,0.0,0.0,7.6,0.0,0.0,1630.000,60.010,38.400,1231.000,12217.000,31694.000,45.8, ,0.00,0.000,0.000,0.000,0
822,26/11/2023 14:42:22 (UTC-4:00),Normal, ,346.2,1.6,554,343.2,1.5,515,339.2,1.5,509,10.2,0.1,0,221.4,0.0,0.0,7.0,0.0,0.0,1480.000,59.990,38.500,1231.000,12217.000,31694.000,44.0, ,0.00,0.000,0.000,0.000,0
823,26/11/2023 14:47:27 (UTC-4:00),Normal, ,348.2,1.7,592,341.3,1.7,580,349.3,1.7,594,10.5,0.1,0,221.3,0.0,0.0,7.8,0.0,0.0,1670.000,59.980,38.700,1231.000,12217.000,31694.000,42.7, ,0.00,0.000,0.000,0.000,0
824,26/11/2023 14:52:30 (UTC-4:00),Normal, ,341.8,5.0,1709,338.9,5.0,1695,342.8,4.9,1680,15.8,0.1,0,222.8,0.0,0.0,22.2,0.0,0.0,5030.000,59.990,39.100,1232.000,12218.000,31694.000,46.4, ,0.00,0.000,0.000,0.000,0
