YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M
2022,12,24,9,26.2,17.01,21.61,13.06,837.48,840.4,0.74,0.16,36.8,385.02,383.35,50.7,1.64,8.7,56.94,0.19,92.92,3.44,9.01,4.16,10.49
2022,12,24,10,27.8,16.94,22.37,13.0,976.47,988.23,0.76,0.16,23.23,453.7,450.35,61.31,2.27,12.67,51.62,0.22,92.9,2.9,358.46,3.46,2.07
2022,12,24,11,28.78,16.9,22.83,13.0,1018.55,1070.85,0.73,0.16,9.98,486.77,487.73,66.69,2.65,15.17,48.56,0.27,92.87,2.28,347.73,2.68,353.97
2022,12,24,12,29.42,16.8,23.11,12.94,959.21,1086.73,0.69,0.16,6.23,457.8,495.65,63.31,2.56,14.6,46.56,0.28,92.81,1.51,326.8,1.69,337.22
2022,12,24,13,29.74,16.66,23.2,12.82,911.12,1026.15,0.69,0.16,18.91,427.98,468.7,58.82,2.28,12.42,45.25,0.32,92.75,0.88,278.13,0.78,291.16
2022,12,24,14,29.44,16.52,22.98,12.7,542.05,899.4,0.45,0.15,32.45,258.08,411.95,37.05,1.32,6.77,45.62,0.38,92.69,1.23,194.74,1.2,188.6
2022,12,24,15,28.44,16.69,22.56,12.82,469.18,719.27,0.48,0.15,46.01,219.9,330.95,30.91,0.92,4.98,48.94,0.4,92.66,2.83,163.32,3.22,161.3
2022,12,24,16,26.87,17.26,22.07,13.31,312.53,497.15,0.44,0.15,59.45,144.38,229.67,19.54,0.42,2.1,55.62,0.36,92.68,4.32,149.82,5.37,149.22
2022,12,24,17,24.91,18.26,21.59,14.16,123.84,256.0,0.3,0.14,72.67,55.6,117.27,7.29,0.09,0.42,66.5,0.33,92.75,5.28,138.18,6.96,137.82
2022,12,24,18,22.65,18.76,20.71,14.59,26.18,44.42,0.23,0.12,85.42,10.05,18.9,1.36,0.01,0.02,78.56,0.31,92.83,5.42,131.14,7.45,130.96
2022,12,24,19,20.94,18.67,19.81,14.53,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,86.69,0.16,92.89,5.29,126.41,7.47,125.42
2022,12,24,20,20.24,18.48,19.36,14.34,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,89.5,0.04,92.93,5.04,123.62,7.07,122.35
2022,12,24,21,19.84,18.21,19.02,14.1,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,90.12,0.01,92.98,4.68,121.62,6.58,120.52
