YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_SW_DWN,ALLSKY_KT
2022,12,25,12,823.28,0.15,36.92,383.25,50.47,1.64,27.37,16.91,22.14,12.98,52.78,5.33,92.95,2.94,35.9,3.6,37.1,8.7,832.0,0.73
2022,12,25,13,977.7,0.16,23.35,451.42,61.55,2.29,29.04,16.81,22.92,12.91,47.61,5.11,92.89,2.81,41.0,3.43,42.4,12.75,979.88,0.76
2022,12,25,14,1019.38,0.16,10.09,488.47,65.18,2.61,30.19,16.78,23.49,12.9,44.49,5.72,92.81,2.46,43.7,3.02,45.9,14.9,1061.38,0.74
2022,12,25,15,931.6,0.16,6.14,491.15,59.83,2.43,30.78,16.81,23.8,12.93,43.08,7.26,92.74,1.96,48.5,2.43,51.0,13.8,1068.15,0.67
2022,12,25,16,817.17,0.16,18.8,464.33,52.95,2.06,30.82,16.83,23.83,12.95,43.02,9.59,92.68,1.36,54.6,1.75,57.9,11.12,1007.78,0.61
2022,12,25,17,614.75,0.15,32.34,407.27,40.0,1.41,30.34,16.92,23.63,13.03,44.46,12.28,92.64,0.6,75.5,0.85,78.4,7.25,881.53,0.52
2022,12,25,18,559.5,0.15,45.9,323.78,34.83,1.01,29.24,17.15,23.2,13.23,48.08,21.09,92.62,0.64,150.3,0.87,146.3,5.43,698.67,0.57
2022,12,25,19,340.25,0.16,59.34,220.03,20.98,0.45,27.8,18.29,23.04,14.24,56.24,37.27,92.64,1.35,158.2,1.82,157.7,2.25,475.45,0.47
2022,12,25,20,160.85,0.15,72.57,108.23,9.8,0.12,25.81,19.29,22.55,15.16,67.3,60.73,92.7,1.97,151.9,2.77,152.2,0.57,237.68,0.38
2022,12,25,21,25.25,0.15,85.34,17.05,1.55,0.01,23.77,20.2,21.99,16.02,80.35,79.1,92.76,2.18,145.3,3.22,145.1,0.03,39.45,0.22
2022,12,25,22,0.0,-999.0,90.0,0.0,0.0,0.0,22.54,20.53,21.54,16.34,88.3,52.67,92.81,2.21,134.6,3.56,134.2,0.0,0.0,-999.0
2022,12,25,23,0.0,-999.0,90.0,0.0,0.0,0.0,21.84,20.58,21.21,16.38,92.4,18.69,92.84,2.86,126.2,4.56,126.2,0.0,0.0,-999.0
2022,12,26,0,0.0,-999.0,90.0,0.0,0.0,0.0,21.32,20.38,20.85,16.18,94.28,8.52,92.88,4.09,117.5,6.07,117.4,0.0,0.0,-999.0
2022,12,26,1,0.0,-999.0,90.0,0.0,0.0,0.0,20.82,20.01,20.42,15.79,94.93,3.87,92.9,4.85,110.7,6.92,110.6,0.0,0.0,-999.0
2022,12,26,2,0.0,-999.0,90.0,0.0,0.0,0.0,20.41,19.54,19.97,15.35,94.64,1.04,92.88,4.95,107.9,7.16,107.6,0.0,0.0,-999.0
2022,12,26,3,0.0,-999.0,90.0,0.0,0.0,0.0,20.1,19.19,19.64,15.02,94.35,0.5,92.81,4.72,104.7,7.01,104.5,0.0,0.0,-999.0
2022,12,26,4,0.0,-999.0,90.0,0.0,0.0,0.0,19.93,19.06,19.49,14.91,94.61,0.57,92.76,4.18,99.1,6.53,98.7,0.0,0.0,-999.0
2022,12,26,5,0.0,-999.0,90.0,0.0,0.0,0.0,19.85,19.06,19.45,14.91,95.06,0.81,92.75,3.5,90.8,5.91,90.4,0.0,0.0,-999.0
2022,12,26,6,0.0,-999.0,90.0,0.0,0.0,0.0,19.79,19.08,19.43,14.93,95.54,1.14,92.74,2.98,81.5,5.51,81.1,0.0,0.0,-999.0
2022,12,26,7,0.0,-999.0,90.0,0.0,0.0,0.0,19.68,19.07,19.38,14.91,96.08,1.82,92.76,2.5,73.5,5.11,73.4,0.0,0.0,-999.0
2022,12,26,8,5.8,0.16,88.34,4.43,0.35,0.0,19.59,19.08,19.34,14.91,96.67,2.1,92.81,2.05,63.9,4.51,63.8,0.0,10.2,0.14
2022,12,26,9,50.15,0.15,77.08,64.35,3.28,0.03,20.28,19.42,19.85,15.23,94.64,2.6,92.85,2.4,52.8,3.65,52.8,0.12,145.7,0.16
2022,12,26,10,165.43,0.15,63.95,169.6,11.26,0.22,21.02,19.8,20.41,15.6,92.61,5.7,92.87,2.28,32.6,2.81,29.8,1.1,371.4,0.27
2022,12,26,11,340.65,0.15,50.56,277.24,23.2,0.66,22.08,20.13,21.11,15.92,88.57,11.24,92.88,2.87,354.6,3.67,353.1,3.53,600.88,0.38
2022,12,26,12,492.9,0.15,37.03,370.08,33.25,1.16,22.82,20.01,21.42,15.8,84.05,52.63,92.89,3.78,342.8,4.75,343.1,6.28,800.3,0.44
2022,12,26,13,600.8,0.15,23.46,436.84,40.51,1.58,23.47,19.69,21.58,15.48,79.18,65.14,92.88,4.47,341.5,5.59,342.2,8.05,945.42,0.47
2022,12,26,14,589.47,0.15,10.19,474.18,41.11,1.69,23.98,19.54,21.76,15.34,76.07,48.1,92.84,4.75,341.7,5.91,342.5,9.38,1026.9,0.43
2022,12,26,15,565.88,0.15,6.05,478.55,39.28,1.62,24.4,19.58,21.99,15.39,74.36,31.13,92.78,4.53,339.7,5.62,340.7,9.12,1037.03,0.4
