Time,Total Inverter Power(W)
2023-07-08 09:31:40,6500.0
2023-07-08 09:36:42,6580.0
2023-07-08 09:41:45,6910.0
2023-07-08 09:46:48,6790.0
2023-07-08 09:51:52,7270.0
2023-07-08 09:52:02,7410.0
2023-07-08 09:56:54,7380.0
2023-07-08 10:01:58,7970.0
2023-07-08 10:07:00,7800.0
2023-07-08 10:12:03,7680.0
2023-07-08 10:17:05,7690.0
2023-07-08 10:22:09,7560.0
2023-07-08 10:27:13,7790.0
2023-07-08 10:32:15,8200.0
2023-07-08 10:37:18,7860.0
2023-07-08 10:42:22,9330.0
2023-07-08 10:47:24,6830.0
2023-07-08 10:52:27,8310.0
2023-07-08 10:57:32,9140.0
2023-07-08 11:02:34,7030.0
2023-07-08 11:07:35,8250.0
2023-07-08 11:12:38,8560.0
2023-07-08 11:17:41,8480.0
2023-07-08 11:22:44,8450.0
2023-07-08 11:27:46,8430.0
2023-07-08 11:32:49,8550.0
2023-07-08 11:37:54,8590.0
2023-07-08 11:42:55,8740.0
2023-07-08 11:47:58,8880.0
2023-07-08 11:53:01,9400.0
2023-07-08 11:58:00,6560.0
2023-07-08 12:02:59,5810.0
2023-07-08 12:07:57,6440.0
2023-07-08 12:12:56,7320.0
2023-07-08 12:17:55,8530.0
2023-07-08 12:22:53,8680.0
2023-07-08 12:27:52,8340.0
2023-07-08 12:32:51,8350.0
2023-07-08 12:37:49,8350.0
2023-07-08 12:42:51,8400.0
2023-07-08 12:47:49,8270.0
2023-07-08 12:52:48,8390.0
2023-07-08 12:57:51,8300.0
2023-07-08 13:02:55,8220.0
2023-07-08 13:07:58,8120.0
2023-07-08 13:13:00,7220.0
2023-07-08 13:18:04,6840.0
2023-07-08 13:23:06,6870.0
2023-07-08 13:28:10,6150.0
2023-07-08 13:33:12,6560.0
2023-07-08 13:33:36,6560.0
2023-07-08 13:38:15,7060.0
2023-07-08 13:43:17,6410.0
2023-07-08 13:48:19,6860.0
2023-07-08 13:53:22,6480.0
2023-07-08 13:58:25,6470.0
2023-07-08 14:03:27,7760.0
2023-07-08 14:08:30,6290.0
2023-07-08 14:13:33,5850.0
2023-07-08 14:18:38,7310.0
2023-07-08 14:23:41,6350.0
2023-07-08 14:28:43,6480.0
2023-07-08 14:33:47,6210.0
2023-07-08 14:38:50,5850.0
2023-07-08 14:43:53,7570.0
2023-07-08 14:48:56,7290.0
2023-07-08 14:53:59,7530.0
2023-07-08 14:59:01,7630.0
2023-07-08 15:04:02,7740.0
2023-07-08 15:09:04,7560.0
2023-07-08 15:14:08,7360.0
2023-07-08 15:15:16,6940.0
2023-07-08 15:20:34,6790.0
2023-07-08 15:25:35,6730.0
2023-07-08 15:30:36,6990.0
2023-07-08 15:35:37,7660.0
2023-07-08 15:40:38,7390.0
2023-07-08 15:45:39,7660.0
2023-07-08 15:50:44,6680.0
2023-07-08 15:55:49,7620.0
2023-07-08 16:00:52,7690.0
2023-07-08 16:05:57,6430.0
2023-07-08 16:11:03,6710.0
2023-07-08 16:16:06,7270.0
2023-07-08 16:21:11,7320.0
2023-07-08 16:26:16,7400.0
2023-07-08 16:31:22,7430.0
2023-07-08 16:36:26,7590.0
2023-07-08 16:41:31,7750.0
2023-07-08 16:46:36,6280.0
2023-07-08 16:51:37,7670.0
2023-07-08 16:56:37,7650.0
2023-07-09 06:12:25,7610.0
2023-07-09 06:17:26,7580.0
2023-07-09 06:22:26,7550.0
2023-07-09 06:27:29,7500.0
2023-07-09 06:32:34,7550.0
2023-07-09 06:37:38,7430.0
2023-07-09 06:42:43,7470.0
2023-07-09 06:47:48,7110.0
2023-07-09 06:52:53,7290.0
2023-07-09 06:57:58,7400.0
2023-07-09 07:03:03,7250.0
2023-07-09 07:08:09,7200.0
2023-07-09 07:13:12,7200.0
2023-07-09 07:18:17,7100.0
2023-07-09 07:23:22,7080.0
2023-07-09 07:28:27,6990.0
2023-07-09 07:33:32,6980.0
2023-07-09 07:38:37,7020.0
2023-07-09 07:43:37,6920.0
2023-07-09 07:48:38,7150.0
2023-07-09 07:53:41,7250.0
2023-07-09 07:58:42,6880.0
2023-07-09 08:03:42,6740.0
2023-07-09 08:08:44,6740.0
2023-07-09 08:13:44,6550.0
2023-07-09 08:18:45,6770.0
2023-07-09 08:23:45,6570.0
2023-07-09 08:28:46,6490.0
2023-07-09 08:33:47,6260.0
2023-07-09 08:38:48,6530.0
2023-07-09 08:43:50,6820.0
2023-07-09 08:48:55,7070.0
2023-07-09 08:53:56,6710.0
2023-07-09 08:58:57,7020.0
2023-07-09 09:03:57,6910.0
2023-07-09 09:08:58,6280.0
2023-07-09 09:14:03,5700.0
2023-07-09 09:19:03,5510.0
2023-07-09 09:24:04,5350.0
2023-07-09 09:29:05,5340.0
2023-07-09 09:34:09,5440.0
2023-07-09 09:39:10,5470.0
2023-07-09 09:44:11,5230.0
2023-07-09 09:49:12,5010.0
2023-07-09 09:54:14,5120.0
