YEAR,MO,DY,HR,T2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2MDEW,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2021,10,6,11,32.02,968.65,953.72,58.57,1.89,15.15,11.6,36.12,0.16,92.99,2.94,300.52
2021,10,6,12,33.3,966.62,938.16,57.75,1.87,14.76,11.29,32.75,0.11,92.84,3.98,301.6
2021,10,6,13,33.94,887.45,856.09,51.55,1.55,14.35,11.05,30.81,0.05,92.68,4.86,304.92
2021,10,6,14,34.02,739.45,629.23,37.59,0.99,14.01,10.8,30.0,0.01,92.6,5.11,298.88
2021,10,6,15,33.62,537.77,383.19,22.48,0.45,13.67,10.56,30.0,0.01,92.58,4.87,284.3
2021,10,6,16,32.59,303.23,212.12,11.54,0.13,13.43,10.38,31.25,0.02,92.6,4.32,267.51
2021,10,6,17,29.85,82.58,55.96,3.16,0.01,16.07,12.39,43.56,0.02,92.65,2.43,238.25
2021,10,6,18,25.5,0.0,0.0,0.0,0.0,17.58,13.55,61.44,0.02,92.69,2.68,186.69
2021,10,6,19,23.83,0.0,0.0,0.0,0.0,16.8,12.94,64.62,0.02,92.73,3.34,152.42
2021,10,6,20,22.08,0.0,0.0,0.0,0.0,16.71,12.82,71.44,0.03,92.8,4.63,127.8
2021,10,6,21,20.25,0.0,0.0,0.0,0.0,16.92,13.0,81.06,0.02,92.85,5.17,109.97
2021,10,6,22,19.47,0.0,0.0,0.0,0.0,17.01,13.06,85.56,0.03,92.85,4.81,98.79
2021,10,6,23,19.19,0.0,0.0,0.0,0.0,17.06,13.12,87.38,0.01,92.81,4.02,89.22
2021,10,7,0,19.13,0.0,0.0,0.0,0.0,17.06,13.12,87.62,0.0,92.75,2.88,76.98
2021,10,7,1,19.08,0.0,0.0,0.0,0.0,17.15,13.24,88.5,0.0,92.7,1.91,58.39
2021,10,7,2,19.16,0.0,0.0,0.0,0.0,17.26,13.31,88.56,0.0,92.65,1.8,39.01
2021,10,7,3,19.84,0.0,0.0,0.0,0.0,17.25,13.31,84.81,0.0,92.63,1.52,19.46
2021,10,7,4,20.7,0.0,0.0,0.0,0.0,17.12,13.18,79.88,0.05,92.66,0.7,5.77
2021,10,7,5,20.1,0.0,0.0,0.0,0.0,17.4,13.43,84.38,0.71,92.71,0.77,157.34
2021,10,7,6,19.85,84.25,26.37,1.56,0.01,17.89,13.85,88.31,0.36,92.77,1.82,150.9
2021,10,7,7,20.76,272.05,57.14,3.7,0.05,17.4,13.43,80.94,0.03,92.86,3.56,144.92
2021,10,7,8,21.73,483.38,201.14,12.46,0.27,16.8,12.88,73.44,0.01,92.92,4.26,146.98
2021,10,7,9,23.41,688.95,222.52,15.63,0.42,16.57,12.7,65.38,0.0,92.95,4.07,152.55
2021,10,7,10,25.3,836.1,279.77,19.66,0.61,16.59,12.7,58.44,0.01,92.95,3.51,163.34
2021,10,7,11,27.37,908.85,276.94,20.12,0.68,16.51,12.63,51.5,0.02,92.9,2.85,178.27
2021,10,7,12,29.32,915.75,232.73,17.77,0.58,16.35,12.51,45.44,0.02,92.82,2.59,192.9
2021,10,7,13,30.15,837.6,376.97,25.3,0.79,15.98,12.27,42.31,0.03,92.74,2.55,199.16
2021,10,7,14,29.79,694.42,353.15,22.84,0.62,15.63,11.96,42.25,0.04,92.71,3.35,195.3
2021,10,7,15,28.09,497.77,215.52,13.71,0.28,15.49,11.9,46.19,0.03,92.72,4.91,179.73
2021,10,7,16,25.85,272.08,120.62,7.28,0.09,15.4,11.78,52.44,0.01,92.78,6.32,161.86
2021,10,7,17,22.56,71.35,30.43,1.88,0.01,14.82,11.35,61.5,0.01,92.9,7.34,148.76
2021,10,7,18,18.95,0.0,0.0,0.0,0.0,13.86,10.62,72.12,0.0,93.0,7.87,138.66
2021,10,7,19,16.99,0.0,0.0,0.0,0.0,13.31,10.25,78.81,0.0,93.05,7.41,132.31
2021,10,7,20,16.47,0.0,0.0,0.0,0.0,13.3,10.25,81.44,0.0,93.1,6.85,132.27
